"DATASET: Rail accidents by type of accident (ERA data) [tran_sf_railac]"

"LAST UPDATE: 21.01.14 10:15:19"

"EXTRACTION DATE: 01.03.14 16:26:02"

"SOURCE OF DATA: Eurostat"

"TIME"
"2006"
"2007"
"2008"
"2009"
"2010"
"2011"
"2012"

"GEO"
"European Union (28 countries)"
"Belgium"
"Bulgaria"
"Czech Republic"
"Denmark"
"Germany (until 1990 former territory of the FRG)"
"Estonia"
"Ireland"
"Greece"
"Spain"
"France"
"Croatia"
"Italy"
"Latvia"
"Lithuania"
"Luxembourg"
"Hungary"
"Netherlands"
"Austria"
"Poland"
"Portugal"
"Romania"
"Slovenia"
"Slovakia"
"Finland"
"Sweden"
"United Kingdom"
"Channel Tunnel"
"Norway"

"UNIT"
"Number"

"ACCIDENT"
"Total"

"No footnotes available"

"Available flags:"
"b","break in time series"
"c","confidential"
"d","definition differs, see metadata"
"e","estimated"
"f","forecast"
"i","see metadata"
"n","not significant"
"p","provisional"
"r","revised"
"s","Eurostat estimate"
"u","low reliability"
"z","not applicable"

"Special value:"
":","not available"

